--- Tokens Generated ---
Time Elapsed - 6.49 ms
Total - 270
Keyword - import
Value - "BaseLib.hc"
Scope - ;
Keyword - obj
Identifier - NumberGame
Scope - {
Keyword - val
Identifier - operators
AssignmentOperator - =
Compound - [
Value - "+"
Split - ,
Value - "-"
Split - ,
Value - "*"
Split - ,
Value - "/"
Compound - ]
Scope - ;
Keyword - var
Identifier - score
AssignmentOperator - =
Value - 0
Scope - ;
Keyword - var
Identifier - question
AssignmentOperator - =
Value - ""
Scope - ;
Keyword - var
Identifier - answer
AssignmentOperator - =
Value - 0
Scope - ;
Keyword - func
Identifier - GenQuestion
Nest - (
Nest - )
Scope - {
Keyword - var
Identifier - numOne
AssignmentOperator - =
Identifier - Random
Split - .
Identifier - RangeInt
Nest - (
MathOperator - -
Value - 10
Split - ,
Value - 11
Nest - )
Scope - ;
Keyword - var
Identifier - numTwo
AssignmentOperator - =
Identifier - Random
Split - .
Identifier - RangeInt
Nest - (
MathOperator - -
Value - 10
Split - ,
Value - 11
Nest - )
Scope - ;
Keyword - var
Identifier - op
AssignmentOperator - =
Identifier - Random
Split - .
Identifier - RangeInt
Nest - (
Value - 0
Split - ,
Value - 3
Nest - )
Scope - ;
Keyword - if
Nest - (
Identifier - op
ComparativeOperator - ==
Value - 3
LogicalOperator - &&
Nest - (
Identifier - numOne
ComparativeOperator - ==
Value - 0
LogicalOperator - ||
Identifier - numTwo
ComparativeOperator - ==
Value - 0
Nest - )
Nest - )
Scope - {
Identifier - numTwo
AssignmentOperator - +=
Value - 1
Scope - ;
Scope - }
Identifier - question
AssignmentOperator - =
Value - "{numOne} {operators[op]} {numTwo} = "
Scope - ;
Keyword - if
Nest - (
Identifier - op
ComparativeOperator - ==
Value - 0
Nest - )
Scope - {
Identifier - answer
AssignmentOperator - =
Identifier - numOne
MathOperator - +
Identifier - numTwo
Scope - ;
Scope - }
Keyword - else
Keyword - if
Nest - (
Identifier - op
ComparativeOperator - ==
Value - 1
Nest - )
Scope - {
Identifier - answer
AssignmentOperator - =
Identifier - numOne
MathOperator - -
Identifier - numTwo
Scope - ;
Scope - }
Keyword - else
Keyword - if
Nest - (
Identifier - op
ComparativeOperator - ==
Value - 2
Nest - )
Scope - {
Identifier - answer
AssignmentOperator - =
Identifier - numOne
MathOperator - *
Identifier - numTwo
Scope - ;
Scope - }
